UTC TIME SEC  ,CH1 AMPS DC  ,CH2 VOLT DC  
1475544487.639,-1.923242E-05, 1.374686E000  
1475544488.373,-2.884864E-05, 1.373825E000
1475544489.696,-2.884864E-05, 1.333505E000
1475544490.986,-9.616215E-06, 1.262904E000
1475544492.466,-2.884864E-05, 1.218261E000
1475544493.815,-3.365675E-05, 1.217107E000
1475544495.106,-2.404053E-05, 1.224013E000
1475544496.395,-3.365675E-05, 1.241434E000
1475544497.750,-2.404053E-05, 1.265945E000
1475544499.075,-2.884864E-05, 1.257701E000
1475544500.366,-2.404053E-05, 1.259607E000
1475544501.658,-2.884864E-05, 1.410316E000
1475544502.950,-1.923242E-05, 1.572237E000
1475544504.531, 4.808107E-06, 1.627120E000
1475544505.823,-3.365675E-05, 1.626516E000
1475544507.113,-2.404053E-05, 1.597242E000
1475544508.468,-1.442432E-05, 1.541314E000
1475544509.791,-1.923242E-05, 1.503632E000
1475544511.083,-1.923242E-05, 1.502955E000
1475544512.375,-3.846485E-05, 1.507351E000
1475544513.968,-3.365675E-05, 1.569361E000
1475544515.265,-2.404053E-05, 1.619683E000
1475544516.556,-2.404053E-05, 1.620287E000
1475544517.915,-3.365675E-05, 1.618803E000
1475544519.238,-1.923242E-05, 1.658794E000
1475544520.530,-2.404053E-05, 1.709079E000
1475544521.821,-1.923242E-05, 1.735806E000
1475544523.115,-1.923242E-05, 1.735934E000
1475544524.686,-2.884864E-05, 1.681143E000
1475544525.978,-2.404053E-05, 1.518544E000
1475544527.270,-1.923242E-05, 1.362321E000
1475544528.626,-3.365675E-05, 1.357466E000
1475544529.950,-2.884864E-05, 1.358877E000
1475544531.246,-3.846485E-05, 1.301282E000
1475544532.538,-2.404053E-05, 1.232440E000
1475544534.122,-1.442432E-05, 1.201536E000
1475544535.413,-2.404053E-05, 1.200675E000
1475544536.669,-2.404053E-05, 1.211245E000
1475544538.026,-2.404053E-05, 1.232678E000
1475544539.351,-2.884864E-05, 1.248322E000
1475544540.640,-2.884864E-05, 1.247058E000
1475544541.931,-2.884864E-05, 1.272137E000
1475544543.223,-2.884864E-05, 1.437336E000
1475544544.839,-1.923242E-05, 1.619481E000
1475544546.130,-9.616215E-06, 1.620690E000
1475544547.489,-3.365675E-05, 1.623750E000
1475544548.811,-4.327297E-05, 1.580755E000
1475544550.103,-9.616215E-06, 1.527081E000
1475544551.394,-2.884864E-05, 1.504805E000
1475544552.685,-1.923242E-05, 1.503797E000
1475544554.275,-1.923242E-05, 1.531770E000
1475544555.566,-9.616215E-06, 1.584144E000
1475544556.856,-3.365675E-05, 1.623035E000
1475544558.213,-1.923242E-05, 1.622870E000
1475544559.535,-1.923242E-05, 1.625160E000
1475544560.825,-1.923242E-05, 1.674859E000
1475544562.123,-9.616215E-06, 1.726921E000
1475544563.415,-5.224385E-32, 1.741119E000
1475544564.995,-1.923242E-05, 1.742474E000
1475544566.288,-9.616215E-06, 1.645402E000
1475544567.643,-5.224385E-32, 1.470823E000
1475544568.966,-1.923242E-05, 1.361478E000
1475544570.260,-1.442432E-05, 1.361863E000
1475544571.551,-9.616215E-06, 1.359390E000
1475544572.842,-2.884864E-05, 1.286847E000
1475544574.428, 9.616215E-06, 1.209596E000
1475544575.718,-2.884864E-05, 1.206720E000
1475544577.010,-2.884864E-05, 1.207031E000
1475544578.380,-2.404053E-05, 1.223482E000
1475544579.703,-9.616215E-06, 1.248084E000
1475544580.993,-1.923242E-05, 1.254038E000
1475544582.286,-1.442432E-05, 1.249678E000
1475544583.576,-2.884864E-05, 1.329127E000
1475544585.146,-9.616215E-06, 1.532705E000
1475544586.438,-1.442432E-05, 1.626955E000
1475544587.791,-9.616215E-06, 1.627706E000
1475544589.113,-2.884864E-05, 1.622540E000
1475544590.405,-2.884864E-05, 1.568793E000
1475544591.696,-2.404053E-05, 1.513781E000
1475544592.988,-1.923242E-05, 1.505977E000
