UTC TIME SEC  ,CH2 VOLT DC  ,Converted UTC Time,Converted Local Time,Converted Amps,mA
1475537569.371,1.537687,2016-10-03 23:32:49.371,19:32:49.371,0.007073077276909,7.07307727690892
1475537570.67,1.538127,2016-10-03 23:32:50.670,19:32:50.670,0.007075101195952,7.07510119595216
1475537571.966,1.54518,2016-10-03 23:32:51.966,19:32:51.966,0.007107543698252,7.10754369825207
1475537573.503,1.559413,2016-10-03 23:32:53.503,19:32:53.503,0.007173012879485,7.17301287948482
1475537574.801,1.559249,2016-10-03 23:32:54.801,19:32:54.801,0.00717225850966,7.17225850965961
1475537576.1,1.558992,2016-10-03 23:32:56.100,19:32:56.100,0.007171076356946,7.17107635694572
1475537577.465,1.7241,2016-10-03 23:32:57.465,19:32:57.465,0.007930542778289,7.93054277828887
1475537578.793,1.924527,2016-10-03 23:32:58.793,19:32:58.793,0.008852470101196,8.85247010119595
1475537580.092,1.995348,2016-10-03 23:33:00.092,19:33:00.092,0.009178233670653,9.17823367065317
1475537581.395,1.994396,2016-10-03 23:33:01.395,19:33:01.395,0.009173854645814,9.17385464581417
1475537582.95,1.941362,2016-10-03 23:33:02.950,19:33:02.950,0.00892990800368,8.92990800367985
1475537584.248,1.840297,2016-10-03 23:33:04.248,19:33:04.248,0.008465027598896,8.46502759889604
1475537585.546,1.771583,2016-10-03 23:33:05.546,19:33:05.546,0.008148955841766,8.14895584176633
1475537586.908,1.771693,2016-10-03 23:33:06.908,19:33:06.908,0.008149461821527,8.14946182152714
1475537588.236,1.786916,2016-10-03 23:33:08.236,19:33:08.236,0.008219484820607,8.21948482060717
1475537589.533,1.866493,2016-10-03 23:33:09.533,19:33:09.533,0.008585524379025,8.58552437902484
1475537590.831,1.943927,2016-10-03 23:33:10.831,19:33:10.831,0.008941706531739,8.94170653173873
1475537592.131,1.948177,2016-10-03 23:33:12.131,19:33:12.131,0.00896125574977,8.96125574977001
1475537593.686,1.947939,2016-10-03 23:33:13.686,19:33:13.686,0.00896016099356,8.96016099356026
1475537594.984,1.981059,2016-10-03 23:33:14.984,19:33:14.984,0.009112506899724,9.11250689972401
1475537596.281,2.017532,2016-10-03 23:33:16.281,19:33:16.281,0.00928027598896,9.28027598896044
1475537597.648,2.030172,2016-10-03 23:33:17.648,19:33:17.648,0.009338417663293,9.33841766329347
1475537598.976,2.030044,2016-10-03 23:33:18.976,19:33:18.976,0.009337828886845,9.33782888684453
1475537600.273,1.99053,2016-10-03 23:33:20.273,19:33:20.273,0.00915607175713,9.15607175712971
1475537601.57,1.904889,2016-10-03 23:33:21.570,19:33:21.570,0.008762138914443,8.76213891444342
1475537603.133,1.836615,2016-10-03 23:33:23.133,19:33:23.133,0.008448091076357,8.44809107635695
1475537604.431,1.836761,2016-10-03 23:33:24.431,19:33:24.431,0.008448762649494,8.44876264949402
1475537605.686,1.821722,2016-10-03 23:33:25.686,19:33:25.686,0.008379586016559,8.37958601655934
1475537607.048,1.677497,2016-10-03 23:33:27.048,19:33:27.048,0.007716177552898,7.71617755289788
1475537608.376,1.545363,2016-10-03 23:33:28.376,19:33:28.376,0.007108385464581,7.10838546458142
1475537609.675,1.53809,2016-10-03 23:33:29.675,19:33:29.675,0.00707493100276,7.07493100275989
1475537610.972,1.537761,2016-10-03 23:33:30.972,19:33:30.972,0.007073417663293,7.07341766329347
1475537612.271,1.543897,2016-10-03 23:33:32.271,19:33:32.271,0.007101642134315,7.10164213431463
1475537613.869,1.557765,2016-10-03 23:33:33.869,19:33:33.869,0.007165432382705,7.16543238270469
1475537615.166,1.558149,2016-10-03 23:33:35.166,19:33:35.166,0.007167198712052,7.16719871205152
1475537616.528,1.55716,2016-10-03 23:33:36.528,19:33:36.528,0.00716264949402,7.16264949402024
1475537617.856,1.716443,2016-10-03 23:33:37.856,19:33:37.856,0.007895321987121,7.89532198712051
1475537619.155,1.913243,2016-10-03 23:33:39.155,19:33:39.155,0.008800565777369,8.80056577736891
1475537620.453,1.996997,2016-10-03 23:33:40.453,19:33:40.453,0.009185818767249,9.18581876724931
1475537621.751,1.995971,2016-10-03 23:33:41.751,19:33:41.751,0.009181099356026,9.18109935602576
1475537623.312,1.950009,2016-10-03 23:33:43.312,19:33:43.312,0.008969682612696,8.96968261269549
1475537624.608,1.849511,2016-10-03 23:33:44.608,19:33:44.608,0.008507410303588,8.50741030358786
1475537625.907,1.772554,2016-10-03 23:33:45.907,19:33:45.907,0.008153422263109,8.15342226310948
1475537627.269,1.773854,2016-10-03 23:33:47.269,19:33:47.269,0.008159402023919,8.15940202391904
1475537628.598,1.782483,2016-10-03 23:33:48.598,19:33:48.598,0.008199093836247,8.19909383624655
1475537629.901,1.86239,2016-10-03 23:33:49.901,19:33:49.901,0.008566651333947,8.56665133394664
1475537631.2,1.941967,2016-10-03 23:33:51.200,19:33:51.200,0.008932690892364,8.93269089236431
1475537632.498,1.949441,2016-10-03 23:33:52.498,19:33:52.498,0.008967069917203,8.96706991720331
1475537634.048,1.948782,2016-10-03 23:33:54.048,19:33:54.048,0.008964038638454,8.96403863845446
1475537635.345,1.980198,2016-10-03 23:33:55.345,19:33:55.345,0.009108546458142,9.10854645814167
1475537636.706,2.018668,2016-10-03 23:33:56.706,19:33:56.706,0.009285501379945,9.2855013799448
1475537638.034,2.031583,2016-10-03 23:33:58.034,19:33:58.034,0.00934490800368,9.34490800367985
1475537639.33,2.031271,2016-10-03 23:33:59.330,19:33:59.330,0.009343472861086,9.34347286108556
1475537640.628,1.999232,2016-10-03 23:34:00.628,19:34:00.628,0.009196099356026,9.19609935602576
1475537641.924,1.912876,2016-10-03 23:34:01.924,19:34:01.924,0.008798877644894,8.7988776448942
1475537643.493,1.835333,2016-10-03 23:34:03.493,19:34:03.493,0.008442194112236,8.44219411223551
1475537644.79,1.83645,2016-10-03 23:34:04.790,19:34:04.790,0.008447332106716,8.44733210671573
1475537646.094,1.826668,2016-10-03 23:34:06.094,19:34:06.094,0.008402336706532,8.40233670653174
1475537647.454,1.682791,2016-10-03 23:34:07.454,19:34:07.454,0.007740528978841,7.74052897884085
1475537648.783,1.547286,2016-10-03 23:34:08.783,19:34:08.783,0.007117230910764,7.11723091076357
1475537650.083,1.537706,2016-10-03 23:34:10.083,19:34:10.083,0.007073164673413,7.07316467341306
1475537651.381,1.537852,2016-10-03 23:34:11.381,19:34:11.381,0.00707383624655,7.07383624655014
1475537652.68,1.543128,2016-10-03 23:34:12.680,19:34:12.680,0.007098104875805,7.09810487580497
1475537654.23,1.556281,2016-10-03 23:34:14.230,19:34:14.230,0.00715860625575,7.15860625574977
1475537655.526,1.55782,2016-10-03 23:34:15.526,19:34:15.526,0.007165685372585,7.1656853725851
1475537656.89,1.556171,2016-10-03 23:34:16.890,19:34:16.890,0.007158100275989,7.15810027598896
1475537658.218,1.698362,2016-10-03 23:34:18.218,19:34:18.218,0.007812152713891,7.81215271389144
1475537659.516,1.89824,2016-10-03 23:34:19.516,19:34:19.516,0.00873155473781,8.73155473781049
1475537660.82,1.99958,2016-10-03 23:34:20.820,19:34:20.820,0.009197700091996,9.19770009199632
1475537662.116,1.995128,2016-10-03 23:34:22.116,19:34:22.116,0.009177221711132,9.17722171113156
1475537663.673,1.959003,2016-10-03 23:34:23.673,19:34:23.673,0.009011053357866,9.01105335786568
1475537664.97,1.857425,2016-10-03 23:34:24.970,19:34:24.970,0.00854381324747,8.5438132474701
1475537666.269,1.769971,2016-10-03 23:34:26.269,19:34:26.269,0.008141540938362,8.14154093836246
1475537667.629,1.772132,2016-10-03 23:34:27.629,19:34:27.629,0.008151481140754,8.15148114075437
1475537668.958,1.775833,2016-10-03 23:34:28.958,19:34:28.958,0.008168505059798,8.16850505979761
1475537670.256,1.853542,2016-10-03 23:34:30.256,19:34:30.256,0.008525952161914,8.52595216191352
1475537671.553,1.934493,2016-10-03 23:34:31.553,19:34:31.553,0.008898311867525,8.8983118675253
1475537672.853,1.949514,2016-10-03 23:34:32.853,19:34:32.853,0.008967405703772,8.96740570377185
1475537674.408,1.947957,2016-10-03 23:34:34.408,19:34:34.408,0.008960243790248,8.96024379024839
1475537675.686,1.974977,2016-10-03 23:34:35.686,19:34:35.686,0.009084530818767,9.08453081876725
1475537677.061,2.014638,2016-10-03 23:34:37.061,19:34:37.061,0.009266964121435,9.26696412143514
1475537678.388,2.031638,2016-10-03 23:34:38.388,19:34:38.388,0.00934516099356,9.34516099356026
1475537679.686,2.030411,2016-10-03 23:34:39.686,19:34:39.686,0.009339517019319,9.33951701931923
1475537680.984,2.00971,2016-10-03 23:34:40.984,19:34:40.984,0.009244296228151,9.24429622815087
1475537682.283,1.921999,2016-10-03 23:34:42.283,19:34:42.283,0.008840841766329,8.84084176632935
1475537683.853,1.833263,2016-10-03 23:34:43.853,19:34:43.853,0.0084326724931,8.43267249310028
1475537685.151,1.835919,2016-10-03 23:34:45.151,19:34:45.151,0.008444889604416,8.44488960441582
1475537686.515,1.832365,2016-10-03 23:34:46.515,19:34:46.515,0.008428541858326,8.42854185832567
1475537687.844,1.695798,2016-10-03 23:34:47.844,19:34:47.844,0.007800358785649,7.80035878564857
1475537689.141,1.558168,2016-10-03 23:34:49.141,19:34:49.141,0.007167286108556,7.16728610855566
1475537690.438,1.535691,2016-10-03 23:34:50.438,19:34:50.438,0.007063896044158,7.06389604415823
1475537691.737,1.537284,2016-10-03 23:34:51.737,19:34:51.737,0.007071223551058,7.07122355105796
1475537693.039,1.541699,2016-10-03 23:34:53.039,19:34:53.039,0.00709153173873,7.09153173873045
1475537694.59,1.553753,2016-10-03 23:34:54.590,19:34:54.590,0.007146977920883,7.14697792088317
1475537695.888,1.556922,2016-10-03 23:34:55.888,19:34:55.888,0.00716155473781,7.16155473781049
1475537697.25,1.555255,2016-10-03 23:34:57.250,19:34:57.250,0.007153886844526,7.15388684452622
1475537698.578,1.672753,2016-10-03 23:34:58.578,19:34:58.578,0.007694356025759,7.69435602575897
1475537699.874,1.876917,2016-10-03 23:34:59.874,19:34:59.874,0.008633472861086,8.63347286108556
1475537701.173,2.003811,2016-10-03 23:35:01.173,19:35:01.173,0.009217161913523,9.21716191352346
1475537702.471,1.996777,2016-10-03 23:35:02.471,19:35:02.471,0.009184806807728,9.18480680772769
1475537704.033,1.970746,2016-10-03 23:35:04.033,19:35:04.033,0.00906506899724,9.06506899724011
