PCB: 008
ASM: 000
LOT: 00000
FW:  1470628829
CH1:  AMPS   10A
CH2:  VOLT   60V
SMPL: 0064 0125Hz
UTC TIME SEC  ,CH1 AMPS DC  ,CH2 VOLT DC  
1475537342.286, 0.000000E000, 1.445287E000
1475537343.021,-9.616215E-06, 1.443382E000
1475537344.348,-1.923242E-05, 1.445708E000
1475537345.646,-9.616215E-06, 1.448346E000
1475537347.011,-4.808107E-06, 1.452083E000
1475537348.338,-1.442432E-05, 1.448456E000
1475537349.636, 9.616215E-06, 1.450434E000
1475537350.744,-1.442432E-05, 1.609809E000
1475537352.041,-9.616215E-06, 1.821044E000
1475537353.344,-4.808107E-06, 1.923062E000
1475537354.641,-1.442432E-05, 1.926469E000
1475537355.939, 4.808107E-06, 1.903442E000
1475537357.304, 0.000000E000, 1.794353E000
1475537358.630,-4.808107E-06, 1.702942E000
1475537360.104,-4.808107E-06, 1.707632E000
1475537360.932,-1.442432E-05, 1.700799E000
1475537362.229, 0.000000E000, 1.754070E000
1475537363.525,-9.616215E-06, 1.839015E000
1475537364.824, 4.808107E-06, 1.891901E000
1475537366.121, 4.808107E-06, 1.892139E000
1475537367.485,-1.923242E-05, 1.898002E000
1475537368.817,-1.923242E-05, 1.928374E000
1475537370.115, 0.000000E000, 1.947921E000
1475537371.665,-4.808107E-06, 1.939054E000
1475537372.961, 4.808107E-06, 1.938853E000
1475537374.258,-9.616215E-06, 1.875323E000
1475537375.556,-1.442432E-05, 1.799574E000
1475537376.918,-1.442432E-05, 1.767186E000
1475537378.248,-1.923242E-05, 1.768414E000
1475537379.546, 0.000000E000, 1.719594E000
1475537381.110, 0.000000E000, 1.543256E000
1475537382.405,-9.616215E-06, 1.445415E000
1475537383.704,-4.808107E-06, 1.442631E000
1475537385.006, 0.000000E000, 1.443748E000
1475537386.304,-1.923242E-05, 1.445415E000
1475537387.669,-9.616215E-06, 1.449592E000
1475537388.995, 9.616215E-06, 1.446313E000
1475537390.293,-9.616215E-06, 1.446056E000
1475537391.843, 0.000000E000, 1.668191E000
1475537393.140,-2.404053E-05, 1.877668E000
1475537394.436,-9.616215E-06, 1.922494E000
1475537395.738,-1.442432E-05, 1.924088E000
1475537397.103,-4.808107E-06, 1.870340E000
1475537398.431,-1.442432E-05, 1.765867E000
1475537399.730,-1.923242E-05, 1.702063E000
1475537401.289,-1.442432E-05, 1.707503E000
1475537402.586,-2.404053E-05, 1.734157E000
1475537403.884, 0.000000E000, 1.817710E000
1475537405.176,-1.442432E-05, 1.893513E000
1475537406.536,-3.846485E-05, 1.894613E000
1475537414.941,-9.616215E-06, 1.882192E000
1475537416.239, 4.808107E-06, 1.804740E000
1475537417.600,-1.442432E-05, 1.767461E000
1475537418.929,-9.616215E-06, 1.769348E000
1475537420.226,-4.808107E-06, 1.726024E000
1475537421.530, 4.808107E-06, 1.578740E000
1475537422.828,-9.616215E-06, 1.449006E000
1475537424.129,-1.442432E-05, 1.443437E000
1475537425.426,-4.808107E-06, 4.726457E-01
1475537426.788,-4.808107E-06, 0.000000E000
1475537428.114,-1.442432E-05,-1.831889E-05
1475537429.413,-1.923242E-05, 0.000000E000
1475537430.706,-3.846485E-05, 1.831889E-05
1475537432.245,-9.616215E-06, 0.000000E000
1475537433.541,-3.846485E-05, 1.831889E-05
1475537434.840,-9.616215E-06, 3.663778E-05
1475537436.138,-9.616215E-06, 1.831889E-05
1475537439.071,-9.616215E-06, 3.663778E-05
1475537440.400,-2.404053E-05, 5.495667E-05
1475537441.703,-1.442432E-05, 0.000000E000
1475537442.998,-9.616215E-06, 3.663778E-05
1475537444.296,-1.442432E-05,-1.831889E-05
1475537445.593,-4.808107E-06, 1.311925E000
1475537446.955,-1.923242E-05, 1.684183E000
1475537448.283,-1.442432E-05, 1.695871E000
1475537449.580,-4.808107E-06, 1.594659E000
1475537450.878,-9.616215E-06, 1.457597E000
1475537452.423,-2.404053E-05, 1.405352E000
1475537453.720,-4.808107E-06, 1.405278E000
1475537455.018,-1.442432E-05, 1.409308E000
1475537456.318,-1.442432E-05, 1.417295E000
1475537457.685,-1.442432E-05, 1.421637E000
1475537459.013,-1.442432E-05, 1.421601E000
1475537460.309,-9.616215E-06, 1.499584E000
1475537461.868,-1.923242E-05, 1.733919E000
1475537463.166,-1.442432E-05, 1.844456E000
1475537464.465,-1.923242E-05, 1.844693E000
1475537465.766,-9.616215E-06, 1.836322E000
