Source,C:/Users/Chris/Google Drive/Barrel of Makers/Windmill LED panel/Schematic/I&O_Epander/I&O_Epander.sch
Kicad Rev,Eeschema 4.0.5
Generated Date,2017-01-30 23:01:14

Title,Interactive Rainbow
Company,Sembazuru Circuits (for Barrel of Makers)
Revision,2.0.2
Date Issue,2017-01-19
Comment,2.0.0 Split schematic up for 4 individual PWB designs
Comment,2.0.1 Implement differential signalling for inter-board communication.
Comment,2.0.2 Add termination resistors for differential inputs.

"Reference","Value","CommonPartLibrary","MFN","MFP","Package ID","S1PN","S1PL","S2PN","S2PL","Characteristics","Description","Critical","Source","Notes","Library","Library Ref"
"C1","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","IC Bypass.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","NewUnsorted","CAP_NP"
"U1","74HC595","CPL-DIC-SHIFTREG-SER-PAR","Texas Instruments","SN74HC595N","PDIP16","SN74HC595N","https://octopart.com/sn74hc595n-texas+instruments-19771","SN74HC595N","https://store.ti.com/SN74HC595N.aspx","+5VDC logic / 16Pin Dip","Serial to parallel converter. Recieved MISO and controls LEDs.","Y","ANY","Any 74xx595 or direct replacement, 5V TTL/CMOS compatible.","NewUnsorted","74HC595"
"U2","74HC165","CPL-DIC-SHIFTREG-PAR-SER","Texas Instruments","SN74HC165N","PDIP16","SN74HC165N","https://octopart.com/sn74hc165n-texas+instruments-13591","SN74HC165N","https://store.ti.com/SN74HC165N.aspx","+5VDC logic / 16Pin Dip","Parallel to serial converter. Recieve sensor states and send to the µC via MOSI.","Y","ANY","Any 74xx165 or direct replacement, 5V TTL/CMOS compatible.","NewUnsorted","74HC165"
"R1","1kΩ","CPL-RES-THT-1K-0.25W","Yageo","MFR-25FBF52-1K","JEDEC footprint name","MFR-25FBF52-1K","https://octopart.com/mfr-25fbf52-1k-yageo-18902051","603-MFR-25FBF52-1K","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyMFR-25FBF52-1K","1kΩ","Biasing/pull-up resistor for Q1 inverter.","N","ANY","Any tolerance THT 1kΩ 1/4W or 1/8W resistor will do.","NewUnsorted","RES"
"Q1","VN3205","CPL-TRN-NFET-50V-1.2A-THT*","Microchip Technology","VN3205N3-G","TO-92","VN3205N3-G","https://octopart.com/vn3205n3-g-microchip-47153678","689-VN3205N3-G","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyVN3205N3-G","MOSFET N-Channel / 50Vds / 1.2A / 1W","SS Signal inverter.","Y","ANY","Any TO-92 N-MOSFET SGD pin configuration >1A","NewUnsorted","Q_NMOS_SGD"
"J1","RJ45-Unshielded","CPL-CON-ETHERNET-VERTICAL*","Wurth Electronics","615008144221","JEDEC footprint name","615008144221","https://octopart.com/615008144221-w%C3%BCrth+elektronik-19991165","710-615008144221","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey615008144221","CONN MOD JACK 8P8C VERT UNSHLD","Power and signal connector for LED&Sensor board 1.","Y","SPEC","Explain critera for "ANY" Source","NewUnsorted","RJ45-Unshielded"
"J9","KLDVHCX-0202-A","CPL-CON-BARREL-2.1MM-VERT*","Kycon","KLDVHCX-0202-A","JEDEC footprint name","KLDVHCX-0202-A","https://octopart.com/kldvhcx-0202-a-kycon-21628247","806-KLDVHCX-0202-A","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyPJ-060A","12V DC / 5A / Tolerance / Ect specs","LED&Sensor board power input.","Y","SPEC","Connectors footprints are part specific.","NewUnsorted","JACK-PWR"
"U3","75C1168","CPL-IIC-DIFFERENTIAL-DRIVER-RECEIVER-DUAL*","Texas Instruments","SN75C1168N","PDIP16","SN75C1168N","https://octopart.com/sn75c1168n-texas+instruments-503774","595-SN75C1168N","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeySN75C1168N","+5VDC logic / 16Pin Dip","Differential driver/receiver for communication over twisted pair.","Y","ANY","Any 75xx1168 or direct replacement, 5V TTL/CMOS compatible.","NewUnsorted","75C1168"
"U7","uA9637AC","CPL-IIC-DIFFERENTIAL-RECEIVER-DUAL*","Texas Instruments","UA9637ACP","PDIP8","UA9637ACP","https://octopart.com/ua9637acp-texas+instruments-503687","UA9637ACP","https://store.ti.com/UA9637ACP.aspx","+5VDC logic / 8Pin Dip","Differential receiver for communication over twisted pair.","Y","ANY","Any UA9637 direct replacement, 5V TTL/CMOS compatible.","NewUnsorted","uA9637AC"
"U9","uA9638C","CPL-IIC-DIFFERENTIAL-DRIVER-DUAL*","Texas Instruments","UA9638CP","PDIP8","UA9638CP","https://octopart.com/ua9638cp-texas+instruments-503688","UA9638CP","https://store.ti.com/UA9638CP.aspx","+5VDC logic / 8Pin Dip","Differential driver for communication over twisted pair.","Y","ANY","Any uA9638C direct replacement, 5V TTL/CMOS compatible.","NewUnsorted","uA9638C"
