Source,C:\Users\Chris\Google Drive\Barrel of Makers\Windmill LED panel\Schematic\Logic&Oscillator\Logic&Oscillator.sch
Kicad Rev,Eeschema 4.0.5
Generated Date,2017-01-31 01:27:19

Title,Interactive Rainbow
Company,Sembazuru Circuit (for Barrel of Makers)
Revision,2.0.2
Date Issue,2017-01-31
Comment,2.0.0 Split schematic up for 4 individual PWB designs.
Comment,2.0.1 Impliment differential signalling for inter-board communications.
Comment,2.0.2 Add termination resistors for differential inputs.

"Reference","Value","CommonPartLibrary","MFN","MFP","Package ID","S1PN","S1PL","S2PN","S2PL","Characteristics","Description","Critical","Source","Notes","Mfg","MfgPart","Library","Library Ref"
"U2","ARDUINO_Pro-Mini 5v","CPL-PLT-ARDUINO","SparkFun","DEV-11113","JEDEC footprint name","DEV-11113","https://octopart.com/dev-11113-sparkfun-55832348","DEV-11113","https://www.sparkfun.com/products/11113","5V / 16MHz","Microcontroller Brainbox","Y","SPEC","Explain critera for "ANY" Source","","","Arduino","ARDUINO_Pro-Mini"
"R2","5kΩ","CPL-POT-MULTI-25TURN-5K-0.5W*","Bourns","3296W-1-502LF","JEDEC footprint name","3296W-1-502LF","https://octopart.com/3296w-1-502lf-bourns-69787","652-3296W-1-502LF","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey3296W-1-502LF","5kΩ / Multiturn / 0.125W(min)","Timer RC component.","Y","ANY","Any multiturn 5kΩ that will fit Bourns 3296 series footprint.","Bourns","3296W-1-502LF","NewUnsorted","POT_W2"
"J2","KLDVHCX-0202-A","CPL-CON-BARREL-2.1MM-VERT*","Kycon","KLDVHCX-0202-A","JEDEC footprint name","KLDVHCX-0202-A","https://octopart.com/kldvhcx-0202-a-kycon-21628247","806-KLDVHCX-0202-A","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyPJ-060A","12V DC / 5A / Tolerance / Ect specs","Master power input.","Y","SPEC","Connectors footprints are part specific.","","","NewUnsorted","JACK-PWR"
"C3","10µF","CPL-CAP-TANT-THT-10UF-50V","AVX","TAP106K050SCS","JEDEC footprint name","TAP106K050SCS","https://octopart.com/tap106k050scs-avx-9633","581-TAP106K050SCS","Source2 Product Link","1µF / Tantalum / 10% / 50WVDC","Power noise filter.","N","ANY","Roughly 10µF minimum 15WVDC","","","NewUnsorted","CAP_P"
"C1","0.1µF","CPL-CAP-X7R-THT-100NF-50V","Kemet","C320C104K5R5TA","JEDEC footprint name","C320C104K5R5TA","https://octopart.com/c320c104k5r5ta-kemet-39420400","80-C320C104K5R","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyC320C104K5R5TA","Capacitor / Ceramic / 0.1µF / 48WVDC(min.)","IC Bypass.","N","ANY","ANY X7R 0.1µF capacitor 0.1" pitch","","","NewUnsorted","CAP_NP"
"R4","100Ω","CPL-RES-THT-100-0.125W*","Xicon","299-100-RC","JEDEC footprint name","299-100-RC","https://octopart.com/ (Not available)","299-100-RC","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey299-100-RC","100Ω Small body","Termination resistor for differential transmission line.","N","ANY","Any tolerance THT 100Ω 1/8W or smaller resistor will do.","","","NewUnsorted","RES"
"Q1","VN3205","CPL-TRN-NFET-50V-1.2A-THT*","Microchip Technology","VN3205N3-G","TO-92","VN3205N3-G","https://octopart.com/vn3205n3-g-microchip-47153678","689-VN3205N3-G","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyVN3205N3-G","MOSFET N-Channel / 50Vds / 1.2A / 1W","Osc inverting buffer.","Y","ANY","Any TO-92 N-MOSFET SGD pin configuration >1A","","","NewUnsorted","Q_NMOS_SGD"
"U1","ICM7555","CPL-LIC-TIMER-7555*","Intersil","ICM7555IPAZ","PDIP8","ICM7555IPAZ","https://octopart.com/icm7555ipaz-intersil-72847","968-ICM7555IPAZ","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyICM7555IPAZ","Voltage / Current / Tolerance / Ect specs","38KHz square wave generator.","Y","ANY","Any CMOS 555 variant (7555).","","","NewUnsorted","ICM7555"
"J4","RJ45-Unshielded","CPL-CON-ETHERNET-VERTICAL*","Wurth Electronics","615008144221","JEDEC footprint name","615008144221","https://octopart.com/615008144221-w%C3%BCrth+elektronik-19991165","710-615008144221","http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey615008144221","CONN MOD JACK 8P8C VERT UNSHLD","Power and signal connector for LED&Sensor board 1.","Y","SPEC","Explain critera for "ANY" Source","","","NewUnsorted","RJ45-Unshielded"
"U3","uA9638C","CPL-IIC-DIFFERENTIAL-DRIVER-DUAL*","Texas Instruments","UA9638CP","PDIP8","UA9638CP","https://octopart.com/ua9638cp-texas+instruments-503688","UA9638CP","https://store.ti.com/UA9638CP.aspx","+5VDC logic / 8Pin Dip","Differential driver for communication over twisted pair.","Y","ANY","Any uA9638C direct replacement, 5V TTL/CMOS compatible.","","","NewUnsorted","uA9638C"
