Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,Distributor [Mouser],SKU [Mouser],Packaging [Mouser],Unit Price (@ Batch Size: 1) [Mouser],Line Total [Mouser],Batch Total [Mouser],In Stock [Mouser],MOQ [Mouser],URL [Mouser],Notes
,,,,,,,,,Adafruit Industries,Digi-Key,Mouser,Newark,Adafruit Industries,Digi-Key,Mouser,Newark,Adafruit Industries,Digi-Key,Mouser,Newark,Adafruit Industries,Digi-Key,Mouser,Newark,Adafruit Industries,Digi-Key,Mouser,Newark,Adafruit Industries,Digi-Key,Mouser,Newark,,,,,,,,,,
2,4308R-101-750LF,Bourns,4308R-101-750LF,https://octopart.com/4308r-101-750lf-bourns-2127300,RN201 RN202,CPL-ARR-BUS7-THT-75-0.14W*,"Resistor Network, 75Ω, Bus7, SIP8, THT",2,,4308R-101-750LF-ND,4308R-101-750LF,,,Bulk,,,,0.76,0.76,,,2216,108,,,1,1,,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=07fa6ca&sid=459&ppid=2127300&vpid=36556463&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D8BDZloOR%25252bZEMtB2llZn0hQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3D4308R-101-750LF%26utm_term%3D4308R-101-750LF%26utm_content%3DBourns&ppid=2127300&sig=07f02cb&sid=2401&ct=offers,,Mouser,4308R-101-750LF,,0.76,1.52,1.52,108,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3D8BDZloOR%25252bZEMtB2llZn0hQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3D4308R-101-750LF%26utm_term%3D4308R-101-750LF%26utm_content%3DBourns&ppid=2127300&sig=07f02cb&sid=2401&ct=offers,
1,TAP106K050SCS,AVX,TAP106K050SCS,https://octopart.com/tap106k050scs-avx-9633,C203,CPL-CAP-TANT-THT-10UF-50V*,"Capacitor, Tantalum, 10µF, 48WVDC(min.), THT",1,,478-1843-ND,TAP106K050SCS,38H9224,,Bulk,,,,3.75,3.38,3.75,,1790,1977,454,,1,1,1,,/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FTAP106K050SCS%2F478-1843-ND%2F563946&ppid=9633&sig=060081e&sid=459&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DcE3UAmPQMTxR9OqkSRsRKg%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DTAP106K050SCS%26utm_term%3DTAP106K050SCS%26utm_content%3DAVX&ppid=9633&sig=01d4670&sid=2401&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0cfa993&sid=2402&ppid=9633&vpid=2967865&ct=offers,Mouser,TAP106K050SCS,,3.38,3.38,3.38,1977,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DcE3UAmPQMTxR9OqkSRsRKg%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DTAP106K050SCS%26utm_term%3DTAP106K050SCS%26utm_content%3DAVX&ppid=9633&sig=01d4670&sid=2401&ct=offers,
1,C320C104K5R5TA,Kemet,C320C104K5R5TA,https://octopart.com/c320c104k5r5ta-kemet-39420400,C204,CPL-CAP-X7R-THT-100NF-50V,"Capacitor, Ceramic, 0.1µF, 48WVDC(min.), THT",1,,399-4264-ND,C320C104K5R5TA,13K6284,,Bulk,,,,0.224,0.15,0.238,,73627,46989,21406,,1,1,1,,/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FC320C104K5R5TA%2F399-4264-ND%2F818040&ppid=39420400&sig=0661c6f&sid=459&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DPmkNt%252fFLxQc4kNUCHU6a6Q%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC320C104K5R5TA%26utm_term%3DC320C104K5R5TA%26utm_content%3DKemet&ppid=39420400&sig=0c9cb9a&sid=2401&ct=offers,/click/track?url=http%3A%2F%2Fwww.newark.com%2F13K6284&ppid=39420400&sig=043987b&sid=2402&ct=offers,Mouser,C320C104K5R5TA,,0.15,0.15,0.15,46989,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DPmkNt%252fFLxQc4kNUCHU6a6Q%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC320C104K5R5TA%26utm_term%3DC320C104K5R5TA%26utm_content%3DKemet&ppid=39420400&sig=0c9cb9a&sid=2401&ct=offers,
18,C320C104K5R5TA,Kemet,C320C104K5R5TA,https://octopart.com/c320c104k5r5ta-kemet-39420400,"C205 C207 C208 C209 C210
C[3-15]01",CPL-CAP-X7R-THT-100NF-50V,"Capacitor, Ceramic, 0.1µF, 7.5WVDC(min.), THT",18,,399-4264-ND,C320C104K5R5TA,13K6284,,Bulk,,,,0.224,0.15,0.238,,73627,46989,21406,,1,1,1,,/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FC320C104K5R5TA%2F399-4264-ND%2F818040&ppid=39420400&sig=0661c6f&sid=459&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DPmkNt%252fFLxQc4kNUCHU6a6Q%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC320C104K5R5TA%26utm_term%3DC320C104K5R5TA%26utm_content%3DKemet&ppid=39420400&sig=0c9cb9a&sid=2401&ct=offers,/click/track?url=http%3A%2F%2Fwww.newark.com%2F13K6284&ppid=39420400&sig=043987b&sid=2402&ct=offers,Mouser,C320C104K5R5TA,,0.15,2.6999999999999997,2.6999999999999997,46989,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DPmkNt%252fFLxQc4kNUCHU6a6Q%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC320C104K5R5TA%26utm_term%3DC320C104K5R5TA%26utm_content%3DKemet&ppid=39420400&sig=0c9cb9a&sid=2401&ct=offers,
2,C315C103K1R5TA,Kemet,C315C103K1R5TA,https://octopart.com/c315c103k1r5ta-kemet-103867,C201 C202,CPL-CAP-X7R-THT-10NF-100V,"Capacitor, Ceramic, 0.01µF, 7.5WVDC(min.), THT",2,,399-4147-ND,C315C103K1R5TA,97H5336,,Bulk,,,,0.35,0.35,0.299,,7846,6688,1679,,1,1,1,,/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FC315C103K1R5TA%2F399-4147-ND%2F817923&ppid=103867&sig=04cf518&sid=459&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DowscpGBW86WnCk7Nx2fiWQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC315C103K1R5TA%26utm_term%3DC315C103K1R5TA%26utm_content%3DKemet&ppid=103867&sig=02c094b&sid=2401&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0c5e04d&sid=2402&ppid=103867&vpid=3092673&ct=offers,Mouser,C315C103K1R5TA,,0.35,0.7,0.7,6688,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DowscpGBW86WnCk7Nx2fiWQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DC315C103K1R5TA%26utm_term%3DC315C103K1R5TA%26utm_content%3DKemet&ppid=103867&sig=02c094b&sid=2401&ct=offers,
1,PJ-102AH,CUI,PJ-102AH,https://octopart.com/pj-102ah-cui-286937,J201,CPL-CON-BARREL-THT-2.1MM*,"Connector, DC Barrel, Jack, 2.1×5.5mm, THT, narrow pin",1,,CP-102AH-ND,PJ-102AH,,,Bulk,,,,1.18,1.18,,,179814,20866,,,1,1,,,https://octopart-clicks.com/click/track?c=1&country=US&ak=68b25f31&sig=03a1b43&sid=459&ppid=286937&vpid=1551348&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DWyjlAZoYn50Yq4CrVLCXLw%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DPJ-102AH%26utm_term%3DPJ-102AH%26utm_content%3DCUI&ppid=286937&sig=018d039&sid=2401&ct=offers,,Mouser,PJ-102AH,,1.18,1.18,1.18,20866,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DWyjlAZoYn50Yq4CrVLCXLw%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DPJ-102AH%26utm_term%3DPJ-102AH%26utm_content%3DCUI&ppid=286937&sig=018d039&sid=2401&ct=offers,
2,SN74HC165N,Texas Instruments,SN74HC165N,https://octopart.com/sn74hc165n-texas+instruments-13591,U205 U206,CPL-DIC-SHIFTREG-PAR-SER,"IC, ShiftRegister, Par-Ser, 74165, HC, DIP16, THT",2,,296-8251-5-ND,SN74HC165N,60K6829,,Tube,,,,0.48,0.47,0.482,,13866,5235,2827,,1,1,1,,/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FSN74HC165N%2F296-8251-5-ND%2F376966&ppid=13591&sig=0837a63&sid=459&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DbvpNxolhIUPhyI98TAZx%252fg%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DSN74HC165N%26utm_term%3DSN74HC165N%26utm_content%3DTexas+Instruments&ppid=13591&sig=0e0b3f4&sid=2401&ct=offers,/click/track?url=http%3A%2F%2Fwww.newark.com%2F60K6829&ppid=13591&sig=056ed88&sid=2402&ct=offers,Mouser,SN74HC165N,,0.47,0.94,0.94,5235,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DbvpNxolhIUPhyI98TAZx%252fg%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DSN74HC165N%26utm_term%3DSN74HC165N%26utm_content%3DTexas+Instruments&ppid=13591&sig=0e0b3f4&sid=2401&ct=offers,
2,SN74HC595N,Texas Instruments,SN74HC595N,https://octopart.com/sn74hc595n-texas+instruments-19771,U203 U204,CPL-DIC-SHIFTREG-SER-PAR,"IC, ShiftRegister, Ser-Par, 74595, HC, DIP16, THT",2,,296-1600-5-ND,SN74HC595N,60K6845,,Tube,,,,0.58,0.57,0.579,,9642,13357,2660,,1,1,1,,/click/track?url=http%3A%2F%2Fwww.digikey.com%2Fproduct-detail%2Fen%2FSN74HC595N%2F296-1600-5-ND%2F277246&ppid=19771&sig=01e7db5&sid=459&ct=offers,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DIEl3ej0IqwBTHkYa8XPoMQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DSN74HC595N%26utm_term%3DSN74HC595N%26utm_content%3DTexas+Instruments&ppid=19771&sig=0629bef&sid=2401&ct=offers,/click/track?url=http%3A%2F%2Fwww.newark.com%2F60K6845&ppid=19771&sig=00a2584&sid=2402&ct=offers,Mouser,SN74HC595N,,0.57,1.14,1.14,13357,1,/click/track?url=http%3A%2F%2Fwww.mouser.com%2FSearch%2FProductDetail.aspx%3Fqs%3DIEl3ej0IqwBTHkYa8XPoMQ%253d%253d%26utm_source%3Dmousersearchapi%26utm_medium%3Dapi-aggregator%26utm_campaign%3DSN74HC595N%26utm_term%3DSN74HC595N%26utm_content%3DTexas+Instruments&ppid=19771&sig=0629bef&sid=2401&ct=offers,
1,5003,Keystone,5003,https://octopart.com/5003-keystone-44407,TP201,CPL-HDR-TESTPOINT,"TestPoint, THT",1,,36-5003-ND,5003,62W5137,,Bulk,,,,0.36,0.32,0.336,,101255,11846,4425,,1,,1,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0e937ac&sid=459&ppid=44407&vpid=212427623&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0b12e7c&sid=2401&ppid=44407&vpid=37625718&ct=offers,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0725c87&sid=2402&ppid=44407&vpid=67006763&ct=offers,Mouser,5003,,0.32,0.32,0.32,11846,,https://octopart-clicks.com/click/track?country=US&ak=68b25f31&sig=0b12e7c&sid=2401&ppid=44407&vpid=37625718&ct=offers,
