Reference, Value, Footprint, Datasheet, CommonPartLibrary, Mfg, MfgPart
D201,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D210,IR 950nm,,,CPL-LED-5MM-IR,Vishay,TSUS5202
U201,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
U203,TSOP32138,,,CPL-SEN-IR,Vishay,TSOP32138
U202,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
R201,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
C202,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
R203,75Ω,,,CPL-RES-THT-75.0-0.25W,Yageo,MFR-25FBF52-75R
C201,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
C203,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
D202,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D203,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D204,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D205,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D206,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D207,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D208,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D209,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
R202,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
U302,ARDUINO_Pro-Mini,,,CPL-PLT-ARDUINO,SparkFun,DEV-11113
U301,LM555N,,,CPL-LIC-TIMER-555,Texas Instruments,NE555P
C301,0.01µF,,,CPL-CAP-X7R-THT-10NF-100V,Kemet,C315C103K1R5TA
R301,75Ω,,,CPL-RES-THT-75.0-0.25W,Yageo,MFR-25FBF52-75R
R304,1.5kΩ,,,CPL-RES-THT-1.5K-0.25W,Yageo,MFR-25FBF52-1K5
R303,500Ω,,,CPL-POT-MULTI-25TURN-500-0.5W,Bourns,3296W-1-501LF
C302,0.01µF,,,CPL-CAP-X7R-THT-10NF-100V,Kemet,C315C103K1R5TA
R302,1kΩ,,,CPL-RES-THT-1K-0.25W,Yageo,MFR-25FBF52-1K
Q301,TIP31C,TO-220,,CPL-TRN-NPN-100V-3A-THT,Fairchild Semiconductor,TIP31C
PS301,Pololu_S10V4F5,,,CPL-,Pololu,S10V4F5
J301,JACK-PWR,,,CPL-,CUI,PJ-102AH
RN301,75Ω,,,CPL-RESARRAY-BUS7-THT-75-0.14W,Bourns,4308R-101-750LF
RN302,75Ω,,,CPL-RESARRAY-BUS7-THT-75-0.14W,Bourns,4308R-101-750LF
TP301,IR_LEDs,,,CPL-HDR-TESTPOINT,Keystone,5003
C304,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
C303,10µF,,,CPL-CAP-TANT-THT-10UF-25V,AVX,TAP106K025CRW
C305,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
C306,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
U303,MCP23017,,,CPL-DIC-IOEXPANDER-I2C,Microchip,MCP23017-E/SP
R305,10kΩ,,,CPL-RES-THT-10K-0.25W,Yageo,MFR-25FBF52-10K
D401,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D410,IR 950nm,,,CPL-LED-5MM-IR,Vishay,TSUS5202
U401,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
U403,TSOP32138,,,CPL-SEN-IR,Vishay,TSOP32138
U402,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
R401,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
C402,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
R403,75Ω,,,CPL-RES-THT-75.0-0.25W,Yageo,MFR-25FBF52-75R
C401,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
C403,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
D402,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D403,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D404,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D405,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D406,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D407,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D408,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D409,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
R402,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
D501,SparkFun COM-10821,,,CPL-LED-RGB-ANODE,www.100LED.com,YSL-R596AR3G4B5C-C10
D510,IR 950nm,,,CPL-LED-5MM-IR,Vishay,TSUS5202
U501,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
U503,TSOP32138,,,CPL-SEN-IR,Vishay,TSOP32138
U502,TLC5940NT,,,CPL-DIC-PWMDRIVER-16CH,Texas Instruments,TLC5940NT
R501,1.91kΩ,,,CPL-RES-THT-1.91K-0.25W,Yageo,MFR-25FBF52-1K91
C502,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
R503,75Ω,,,CPL-RES-THT-75.0-0.25W,Yageo,MFR-25FBF52-75R
C501,0.1µF,,,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA
