Source,C:/Users/Chris/Google Drive/Barrel of Makers/Windmill LED panel/Schematic/Schematic.sch
Kicad Rev,Eeschema (2015-11-15 BZR 6316)-product
Generated Date,2016-01-09 01:04:02

Title,Interactive Rainbow
Company,Sembazuru Circuit (for Barrel of Makers)
Revision,1.2.3
Date Issue,2016-01-09
Comment,1.2.0 Change design to use LEDs with integrated flashing. Simpler design.
Comment,1.2.1 Chance TIP31C to 2N2222. Don't need extra current capacity.
Comment,1.2.2 Change 555 to CMOS 7555 to simplify IR strobe design & lower current.
Comment,1.2.3 Correct 7555 enable logic level to high active.

Reference,Value,CommonPartLibrary,Mfg,MfgPart,Library,Library Ref
U202,ARDUINO_Pro-Mini,CPL-PLT-ARDUINO,SparkFun,DEV-11113,Arduino,ARDUINO_Pro-Mini
C201,0.001µF,CPL-CAP-X7R-THT-1NF-100V,Kemet,C315C102K1R5TA,NewUnsorted,CAP_NP
R201,15kΩ,CPL-RES-THT-15K-0.25W*,Yageo,MFR-25FBF52-15K,NewUnsorted,RES
R202,5kΩ,CPL-POT-MULTI-25TURN-5K-0.5W*,Bourns,3296W-1-502LF,NewUnsorted,POT_W2
R203,1kΩ,CPL-RES-THT-1K-0.25W,Yageo,MFR-25FBF52-1K,NewUnsorted,RES
J201,JACK-PWR,CPL-CON-BARREL-THT-2.1MM*,CUI,PJ-102AH,NewUnsorted,JACK-PWR
RN201,33Ω,CPL-ARR-BUS7-THT-33-0.14W*,Bourns,4308R-101-330,NewUnsorted,RN7BUSSIP
RN202,33Ω,CPL-ARR-BUS7-THT-33-0.14W*,Bourns,4308R-101-330,NewUnsorted,RN7BUSSIP
TP201,IR_LEDs,CPL-HDR-TESTPOINT,Keystone,5003,NewUnsorted,TST
C203,0.1µF,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA,NewUnsorted,CAP_NP
C202,10µF,CPL-CAP-TANT-THT-10UF-50V*,AVX,TAP106K050SCS,NewUnsorted,CAP_P
C205,0.1µF,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA,NewUnsorted,CAP_NP
U203,74HC595,CPL-DIC-SHIFTREG-SER-PAR,Texas Instruments,SN74HC595N,NewUnsorted,74HC595
U204,74HC595,CPL-DIC-SHIFTREG-SER-PAR,Texas Instruments,SN74HC595N,NewUnsorted,74HC595
U205,74HC165,CPL-DIC-SHIFTREG-PAR-SER,Texas Instruments,SN74HC165N,NewUnsorted,74HC165
U206,74HC165,CPL-DIC-SHIFTREG-PAR-SER,Texas Instruments,SN74HC165N,NewUnsorted,74HC165
C207,0.1µF,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA,NewUnsorted,CAP_NP
C208,0.1µF,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA,NewUnsorted,CAP_NP
C206,0.1µF,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA,NewUnsorted,CAP_NP
C204,0.1µF,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA,NewUnsorted,CAP_NP
Q202,2N2222,CPL-TRN-NPN-40V-1A-THT,Fairchild Semiconductor,PN2222ABU,NewUnsorted,Q_NPN_EBC
R205,1kΩ,CPL-RES-THT-1K-0.25W,Yageo,MFR-25FBF52-1K,NewUnsorted,RES
R204,1kΩ,CPL-RES-THT-1K-0.25W,Yageo,MFR-25FBF52-1K,NewUnsorted,RES
PS201,Pololu_S18V20F5,CPL-REG-SWI-5V-2A-BREAKOUT*,Pololu,2574,NewUnsorted,Pololu_S18V20F5
Q201,2N2222,CPL-TRN-NPN-40V-1A-THT,Fairchild Semiconductor,PN2222ABU,NewUnsorted,Q_NPN_EBC
U201,ICM7555,CPL-LIC-TIMER-7555*,Intersil,ICM7555IPAZ,NewUnsorted,ICM7555
D310,IR 950nm,CPL-LED-5MM-IR*,Vishay,TSUS5202,NewUnsorted,LED
U301,TSOP32138,CPL-SEN-IR,Vishay,TSOP32138,NewUnsorted,TSOP321xx
R311,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
C301,0.1µF,CPL-CAP-X7R-THT-100NF-50V,Kemet,C320C104K5R5TA,NewUnsorted,CAP_NP
D301,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
Q301,2N2222,CPL-TRN-NPN-40V-1A-THT,Fairchild Semiconductor,PN2222ABU,NewUnsorted,Q_NPN_EBC
R310,1kΩ,CPL-RES-THT-1k-0.25W,Yageo,MFR-25FBF52-1K,NewUnsorted,RES
R301,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D302,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R302,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D303,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
R303,180Ω,CPL-RES-THT-180-0.25W*,Yageo,MFR-25FBF52-180R,NewUnsorted,RES
D304,RGB Slow Flashing,CPL-LED-RGB-CYCLING-SLOW*,AdaFruit,ADA679,NewUnsorted,LED_Flashing
